"ID","Title","Body HTML","Vendor","Type","Status","Published","Image Src","Image Position","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: custom.min-qty [number_integer]","Metafield: custom.in_catalog [boolean]","Variant Metafield: custom.in_catalog [boolean]","Variant Metafield: harmonized_system_code [string]"
"8394555785530","Grrilla","Meet the Grrilla - our bristle-free grill scraper. Use this to avoid those traditional harmful bristle brushes that can shed metal wires and pose a health risk. Grrilla is laser cut from stainless steel, creating a dishwasher safe grilling accessory. This modern scraper is compatible with almost any model of charcoal, propane, and campground grills. <br>For gas grills - turn grill on to burn off residue, turn gas off to scrape remaining residue. Charcoal Grills - scrape off residue before lighting charcoal.","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.jpg?v=1688585626","1","47603711770938","45556236681530","MERGE","Title","Default Title","","","","","1","GR-G","748252680822","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.png?v=1688585626","0.0","lb","6.50","12.95","false","","","continue","manual","true","","","","","12","true","true",""
"8394555785530","Grrilla","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.png?v=1688585626","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394555883834","Meat Charms","<p>Keep track of the requested doneness level for each of your guests, on the grill and on the serving platter. Each pack consists of 6 charms: 2 Rare, 2 Medium Rare, 1 Medium, and 1 Medium Well. These laser cut stainless steel charms are food and dishwasher safe.</p>","Zootility","Backyard & Bar","Draft","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC.jpg?v=1688585629","1","47603714097466","45556239008058","MERGE","Title","Default Title","","","","","1","GR-MC-6","748252681126","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC-6.png?v=1688585629","0.0","lb","6.50","12.95","false","","","continue","manual","true","","","","","6","false","true",""
"8394555883834","Meat Charms","","Zootility","Backyard & Bar","Draft","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC-6.png?v=1688585629","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394556080442","Tangram Puzzle Coaster","This set of 4 innovative drink coasters is perfect for parties, family gatherings, or just a cozy night in. Keep your furniture protected while challenging your mind with this interactive and engaging game.<br><br>Key Features:<br><ul>
<li>Set of 4 absorbent coasters, designed to protect your surfaces from spills and condensation</li>
<li>Made of water-absorbent felt with a stain-resistant finish, ensuring a durable and lasting product</li>
<li>Cork bottom provides a non-slip surface, keeping your drinks steady and your table free from scratches</li>
<li>Each coaster features 7 removable puzzle pieces, designed to be assembled into a variety of Tangram shapes</li>
<li>16+ games in one, offering endless hours of fun and mental stimulation</li>
<li>Play solo or engage in friendly competition with friends and family</li>
<li>Proudly made in the USA, ensuring high-quality craftsmanship</li>
</ul><br>Challenge yourself or engage in friendly competition as you explore 16 unique Tangram puzzles. Each coaster has a hidden challenge, revealed by simply removing the puzzle pieces from the coaster's surface. Test your creativity and dexterity as you attempt to replicate animals and other intricate outlines provided on the inside of each coaster.<br><br>The Tangram Puzzle Coaster Set is an ideal gift for those who appreciate both style and entertainment. Whether it's for a housewarming, birthday, or just a thoughtful gesture, this set is sure to delight and impress. Elevate your next gathering or bring a touch of whimsy to your daily routine with this exciting and functional conversation piece. Order your set today and immerse yourself in the captivating world of Tangram puzzles!<br>","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC.jpg?v=1688585632","1","47603716489530","45556241400122","MERGE","Color","4-Pack","","","","","1","H-TPC-4","816265027283","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC-4.png?v=1688585632","0.0","lb","12.00","24.95","false","","","continue","manual","true","","","","","3","false","false",""
"8394556080442","Tangram Puzzle Coaster","","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC-4.png?v=1688585632","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","<span style=""background-color: rgb(255, 255, 255);"">A notebook worthy of being carried everywhere you go. It contains <span style=""background-color: rgb(255, 255, 255);"">160 pages dotted with a subtle grid pattern for ease of note-taking and sketching.</span> Measuring 5 by 9 inches, this notebook is perfectly sized for portability without compromising on writing space. A distinguishing feature is the leather magnetic strip latch that ensures your pages remain undisturbed and even incorporates a convenient pen holder. Designed for durability, versatility, and style, the Northstar Notebook is your steadfast companion at work, home, or on the trail.</span><br>","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN.jpg?v=1688586032","1","47603742048570","45556266959162","MERGE","Color","Black / Black","","","","","1","PS-NN-BB","816265027894","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-BB.png?v=1688586032","0.0","lb","19.50","39.95","false","","","continue","manual","true","","","","","3","false","false",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-2.jpg?v=1688586032","2","47603742081338","45556266991930","MERGE","Color","Coyote / Coyote","","","","","2","PS-NN-CC","816265028426","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-CC.png?v=1688586032","0.0","lb","19.50","39.95","false","","","continue","manual","true","","","","","","","false",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-3.jpg?v=1688586032","3","47603742114106","45556267024698","MERGE","Color","Hot Pink / Teal","","","","","3","PS-NN-HPT","816265028365","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-HPT.png?v=1688586032","0.0","lb","19.50","39.95","false","","","continue","manual","true","","","","","","","false",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-4.jpg?v=1688586032","4","47603742146874","45556267057466","MERGE","Color","White / Navy","","","","","4","PS-NN-WN","816265028563","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-WN.png?v=1688586032","0.0","lb","19.50","39.95","false","","","continue","manual","true","","","","","","","false",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-BB.png?v=1688586032","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-CC.png?v=1688586032","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-HPT.png?v=1688586032","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-WN.png?v=1688586032","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557391162","The Rift Belt™- Stainless","<p>The Rift Belt uses a patent-pending ""rift"" slot for infinite adjustability with quick connect, disconnect, and friction-locks without any slippage. Laser cut from Stainless Steel and Abrasion Resistant Nylon, the belt is built to look fashionable day in and day out. This belt is One-Size-Fits-Most up to a 50"" waist. It can be worn as is or can also be cut to length with scissors and seared with a flame.</p>","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS.jpg?v=1688586089","1","47603751518522","45556276429114","MERGE","Color","Black","Size","Regular","","","1","PS-RBS-BLK","816265021830","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-BLK.png?v=1688586089","0.0","lb","17.50","39.95","false","","","continue","manual","true","","","","","3","true","true",""
