baseSku,sales
Z-PMD,58572.45
Z-WC,37488.72
LG-CNO,28061.51
DP-BFS,17041.2
Z-PMB,9817.84
PS-RMW,13004.81
ZL-CT,15279.2
Z-WSK,10599.28
Z-FSK,8460.72
LG-CPWM,23653.02
LG-CBDC,6496
Z-HH,7621.31
GR-G,7494.45
Z-ST,10483
PS-MPW,9820.66
ZL-MT,12500.36
Z-PP,4217.05
LG-CPWC,5900.81
PS-LSW,7275.69
PS-EPW,9648.18
Z-USK,3865.58
DP-MAP,2799
Z-PMX,4543.02
SG-CCWO,2702.67
Z-SSK,4282.26
PS-FPW,8068.18
Z-CKMT,2963
LG-CLJ,3049.8
D-PFS,2607.6
PS-CFPW,4332
LG-CAC,2380.98
Z-HEX,3642.36
ZL-MYT,3919.75
LG-CSO,3864.87
DP-BS,2200
LG-CPMM,4916.15
ZL-INS,6673.92
Z-TT,2675.24
PS-LSWP,7780.39
ZL-DIYC,13280.23
PS-ARB,4699.06
PS-FPWP,5040.09
ZL-WOO,5485.6
ZL-BIR,2856.34
SG-SWO,6478.51
PA-CLP,1320
J-TSN,1493.5
ZL-DIN,2754.91
BG-AWO,3361.43
Z-KGOL,1664.32
PS-RBS,3759.01
SG-SNO,6026.89
SS-CES,2745.8
PS-RP,4757.82
LG-CMPM,1903.5
Z-K,1351.24
LG-CSB,1620
ZL-ZOO,3098.77
Z-RB,2150.79
DP-PFS,2650
PS-CMPW,978.75
Z-KBF,1448.96
PS-CVT,960
ZL-LMYT,1594.02
DP-MAG,918
GR-MC,1029.59
PS-LFW,3095.67
ZL-MOU,2204.24
J-CCP,864
Z-HT,1409.15
PS-VT,828
ZL-SEA,4815.71
PA-MTC,1080
ZL-LDIN,1572.9
Z-PK,745.44
PS-COS,720
Z-WENG,720
ZL-LINS,2401.29
PS-CLVT,787.5
CC-MP,864.7
ZL-PET,1511.36
Z-KREX,793.59
Z-KPB,1168.84
PA-RTC,1278
CG-CPMX,630
Z-WCSK,810
ZL-FAR,2271.63
BG-FP,570
ZL-LEXO,637.1
PS-RMWB,510
ZL-LSEA,2589.86
ZL-LBIR,876.19
D-POS,996
ZL-LPET,948.38
PS-SCRB,468
ZL-VEH,459.3
D-PS,716.41
PA-SPTC,588
ZL-LWOO,1394.77
BG-LCA,1107
ZL-EXO,1125.4
LG-CMPO,768
ES-PLA,510.49
ZL-DES,705
D-URS,556.73
LG-CFC,456
CG-CPMD,354.89
PS-OS,1933
ZL-LFAR,537.75
BG-CBDC,792
ZL-REP,618.5
BG-FCP,597.57
ES-INS,432
Z-KBEA,357.73
LG-CWO,444
PA-BWDC,780
PS-HWP,1318.45
ZL-MAG,730.8
ES-SAY,1058.99
ZL-LZOO,536.18
ZL-CL,270
PA-STC,588
ZL-LMOU,431.85
ZL-LREP,246.16
PS-CLSW,360
PA-LPCM,240
PA-CSSW,240
PA-CFP,234
LG-CEWO,230.4
D-BFS,229
LG-CWA,228
SS-ES,2700
Z-WGOL,267.3
PS-EFW,815.59
ZL-TRA,352.22
PS-VP,480.43
D-BS,384
CC-ES,870.29
PA-LPCT,180
ES-LAN,739.34
S-FEE,295.06
ZL-CMT,171
LG-CBWM,168
ES-TRE,315
ES-NS,369
BG-CWC,150
BG-BDC,1181.6
BG-BFWO,172.8
ES-SAN,344.19
PA-CSWL,140
Z-KSCO,139.5
PA-WPCM,120
ES-VEH,396
H-TPC,105
ES-ANI,308.03
CC-WO,336
PA-BEAN,234
PA-GFPCT,72
ES-CA,72
ES-STA,72
ES-NAT,216
D-BOX,115.89
Z-KBUF,106.65
Z-WPB,54
PS-SS,250
PS-CC,192
LG-CPWO,48
PS-HW,48
ES-CO,45
PS-DT,117
J-ZCPG,266
BG-BWC,112.5
ES-CF,36
PG-BBP,36
ES-ACT,36
PA-GLP,54
PA-GWP,27
Z-KORB,49.5
D-FWD,24
PS-NN,28.3
D-BB,0
PG-CBBP,0
LG-BWM,0
DP-TPBS,0
D-PTS,0
D-OS,0
